dataset,dataset_role,public_trajectory_id,original_trajectory_sha256,source_family,trajectory_length,top_10pct_longest_global,top_10pct_longest_within_dataset,pi_density,hn_density,uc_density,has_pi,has_hn,has_uc,pi_step_count,hn_step_count,uc_step_count,pi_projected_step_count,hn_projected_step_count,uc_projected_step_count
Natural500,natural-distribution control,Natural500_T000105,40d585514792d4c094141a85d1d4bf17bfbd69e79802f86fe7e46c55ba9e8a03,SWE-agent datasets,12,False,False,0.75,0.4166666666666667,0.0,True,True,False,9,3,0,9,5,0
Natural500,natural-distribution control,Natural500_T000106,04a2d0a646bb5862058259bf821b9f75dd7e4c874b057adf28bdce50d6978866,SWE-agent datasets,12,False,False,0.8333333333333334,0.08333333333333333,0.0,True,True,False,9,1,0,10,1,0
Natural500,natural-distribution control,Natural500_T000107,d1859a401fd9b8ef892f65ba94baea9ca49b76e8c2b9c63335cbfb1c2fde5e64,SWE-agent datasets,13,False,False,0.8461538461538461,0.07692307692307693,0.0,True,True,False,10,1,0,11,1,0
Natural500,natural-distribution control,Natural500_T000108,a4bbcb05c2da631108caf773c8908e0a8052f2f5f19afb9550e3b763975048c4,SWE-agent datasets,14,False,False,0.7857142857142857,0.0,0.0,True,False,False,11,0,0,11,0,0
Natural500,natural-distribution control,Natural500_T000109,d69b381b157e255d2f0ddee9ad87cf402fe7868e58d114fdda36fcf92ca2bb67,SWE-agent datasets,17,False,False,0.5882352941176471,0.23529411764705882,0.0,True,True,False,10,1,0,10,4,0
Natural500,natural-distribution control,Natural500_T000110,e9eef7573edb361ec201a79be229a2e44b7e5ed7189f74f8795748a560e63fca,SWE-agent datasets,14,False,False,0.8571428571428571,0.07142857142857142,0.0,True,True,False,12,1,0,12,1,0
Natural500,natural-distribution control,Natural500_T000111,3d76db8aa77e0d8b7b88ba714b97246b70b7ae4a6e9bfe696dc2b6822144e2fb,SWE-agent datasets,6,False,False,1.0,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000112,b051c3b1476676902a5efd8172e4c538ee94d48f7ea7fcf0b244f8fa75418717,SWE-agent datasets,22,False,False,0.9090909090909091,0.9090909090909091,0.0,True,True,False,19,3,0,20,20,0
Natural500,natural-distribution control,Natural500_T000113,06b0be29033410437ce5c0187fc53ab7c5c81ca5a9d97166596dfcf7ea625026,SWE-agent datasets,11,False,False,0.9090909090909091,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000114,473207827569eb00896530e5f072eec7a0ec99dec3d940972847cc904133b49d,SWE-agent datasets,58,False,True,0.5862068965517241,0.3448275862068966,0.6379310344827587,True,True,True,29,12,28,34,20,37
Natural500,natural-distribution control,Natural500_T000115,d73f1e7903e8bdb605fe9f36761856e7fb39544b6b55c2cfddc9e319dc426b70,SWE-agent datasets,15,False,False,0.9333333333333333,0.0,0.0,True,False,False,14,0,0,14,0,0
