dataset,detector,threshold/config,metric,point,ci_low,ci_high,resamples,bootstrap_unit
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,PIIR,0.019484240687679084,0.013195639701663799,0.026560993768946464,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,HN_FPR,0.0028081436164878147,0.0014235898328592296,0.004657450459462023,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,burden,0.06169754747443684,0.04061466678096286,0.08400625156284404,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,latency_mean,6.666666666666667,3.8989378319275225,10.886655211912943,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime,F1,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime,UC_recall,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime,PIIR,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime,HN_FPR,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime,burden,0.0,0.0,0.0,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime,latency_mean,,,,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,F1,0.19348825649310303,0.130906992887714,0.2543931414178799,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,UC_recall,0.10135135135135136,0.07176819125036442,0.1364831498911419,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,PIIR,0.018911174785100286,0.012696409373786298,0.026060606060606062,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,HN_FPR,0.0027078527730418213,0.0012183611616574603,0.004438500291278606,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,burden,0.06019835473206735,0.038862671365486434,0.0824950679469529,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,latency_mean,6.285714285714286,3.523214285714286,11.094603924418603,1000,trajectory
Enriched500,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,F1,0.0,0.0,0.0,1000,trajectory
