dataset,within_0_01,within_0_02,detector_a,config_a,F1_a,PIIR_a,HN_FPR_a,detector_b,config_b,F1_b,PIIR_b,HN_FPR_b,abs_F1_diff,abs_PIIR_diff,abs_HN_FPR_diff
StressFresh100,True,True,repeat_without_progress_guard,base=tool;k=3;progress=runtime,0.2732307692307692,0.003875968992248062,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,0.2732307692307692,0.003875968992248062,0.0,0.0,0.0,0.0
StressFresh100,False,True,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,0.2562189054726368,0.003875968992248062,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,0.2732307692307692,0.003875968992248062,0.0,0.017011863758132406,0.0,0.0
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908046,1.0,1.0,max_step_guard,threshold=200,0.0,0.10628019323671498,0.0036607687614399025,0.0028735632183908046,0.893719806763285,0.99633923123856
OpenHandsExternal330,True,True,max_step_guard,threshold=50,0.003552804996848318,0.9975845410628019,1.0,max_step_guard,threshold=200,0.0,0.10628019323671498,0.0036607687614399025,0.003552804996848318,0.8913043478260869,0.99633923123856
OpenHandsExternal330,True,True,max_step_guard,threshold=75,0.004651337259462095,0.9758454106280193,0.9938987187309335,max_step_guard,threshold=200,0.0,0.10628019323671498,0.0036607687614399025,0.004651337259462095,0.8695652173913043,0.9902379499694935
OpenHandsExternal330,True,True,max_step_guard,threshold=100,0.003407517836226174,0.8864734299516909,0.9377669310555217,max_step_guard,threshold=200,0.0,0.10628019323671498,0.0036607687614399025,0.003407517836226174,0.7801932367149759,0.9341061622940817
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908046,1.0,1.0,max_step_guard,threshold=150,0.007901668129938543,0.5362318840579711,0.4478340451494814,0.005028104911547739,0.46376811594202894,0.5521659548505187
OpenHandsExternal330,True,True,max_step_guard,threshold=50,0.003552804996848318,0.9975845410628019,1.0,max_step_guard,threshold=150,0.007901668129938543,0.5362318840579711,0.4478340451494814,0.004348863133090225,0.46135265700483086,0.5521659548505187
OpenHandsExternal330,True,True,max_step_guard,threshold=75,0.004651337259462095,0.9758454106280193,0.9938987187309335,max_step_guard,threshold=150,0.007901668129938543,0.5362318840579711,0.4478340451494814,0.003250330870476448,0.43961352657004826,0.546064673581452
OpenHandsExternal330,True,True,max_step_guard,threshold=150,0.007901668129938543,0.5362318840579711,0.4478340451494814,max_step_guard,threshold=200,0.0,0.10628019323671498,0.0036607687614399025,0.007901668129938543,0.42995169082125606,0.4441732763880415
OpenHandsExternal330,True,True,max_step_guard,threshold=100,0.003407517836226174,0.8864734299516909,0.9377669310555217,max_step_guard,threshold=150,0.007901668129938543,0.5362318840579711,0.4478340451494814,0.004494150293712369,0.3502415458937198,0.4899328859060403
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908046,1.0,1.0,max_step_guard,threshold=100,0.003407517836226174,0.8864734299516909,0.9377669310555217,0.0005339546178353693,0.11352657004830913,0.06223306894447833
OpenHandsExternal330,True,True,max_step_guard,threshold=50,0.003552804996848318,0.9975845410628019,1.0,max_step_guard,threshold=100,0.003407517836226174,0.8864734299516909,0.9377669310555217,0.00014528716062214408,0.11111111111111105,0.06223306894447833
OpenHandsExternal330,True,True,max_step_guard,threshold=75,0.004651337259462095,0.9758454106280193,0.9938987187309335,max_step_guard,threshold=100,0.003407517836226174,0.8864734299516909,0.9377669310555217,0.0012438194232359213,0.08937198067632846,0.056131787675411826
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908046,1.0,1.0,max_step_guard,threshold=75,0.004651337259462095,0.9758454106280193,0.9938987187309335,0.0017777740410712907,0.024154589371980673,0.006101281269066505
OpenHandsExternal330,True,True,max_step_guard,threshold=50,0.003552804996848318,0.9975845410628019,1.0,max_step_guard,threshold=75,0.004651337259462095,0.9758454106280193,0.9938987187309335,0.0010985322626137772,0.021739130434782594,0.006101281269066505
OpenHandsExternal330,True,True,max_step_guard,threshold=25,0.0028735632183908046,1.0,1.0,max_step_guard,threshold=50,0.003552804996848318,0.9975845410628019,1.0,0.0006792417784575134,0.0024154589371980784,0.0
