dataset,location_category,trigger_count,trigger_pct,detector,threshold/config
OpenHandsExternal330,PI_span_non_HN,15633,0.8350961538461539,max_step_guard,threshold=100
OpenHandsExternal330,other,1518,0.0810897435897436,max_step_guard,threshold=100
OpenHandsExternal330,UC_span,27,0.003987005316007088,max_step_guard,threshold=150
OpenHandsExternal330,HN_step,734,0.10838747784997046,max_step_guard,threshold=150
OpenHandsExternal330,PI_span_non_HN,4897,0.7231246308328411,max_step_guard,threshold=150
OpenHandsExternal330,other,1114,0.16450088600118135,max_step_guard,threshold=150
OpenHandsExternal330,UC_span,0,0.0,max_step_guard,threshold=200
OpenHandsExternal330,HN_step,6,0.03488372093023256,max_step_guard,threshold=200
OpenHandsExternal330,PI_span_non_HN,36,0.20930232558139536,max_step_guard,threshold=200
OpenHandsExternal330,other,130,0.7558139534883721,max_step_guard,threshold=200
